plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_objectid,pl_site,pl_comp10_30,pl_hectares,pl_plotid,smpl_site,smpl_tcc30_nam,smpl_plotid,smpl_area,smpl_sampleid,Is this area forest?,"If area is partially forest, estimate percentage (10, 15, 20)",What is your confidence level in your answer?,Notes on why this area may have been a site of disagreement or is mislabeled?,Would this plot be a good candidate example for any of the following data issues?,Which of the following data issues describes it?,Indicate other issues
140855268,569070502,122.14795407009602,7.138170437141587,,,,,,,POINT(122.147954070096 7.13817043714159),16,ZAMBOANGA CITY,F10,37.3172,8,ZAMBOANGA CITY,Forest_Brush/Shrubs,8,89.168,1,,,,,,,
140855269,569070506,121.9557730871716,7.143664161943115,,,,,,,POINT(121.955773087172 7.14366416194312),16,ZAMBOANGA CITY,F10,66.0618,12,ZAMBOANGA CITY,Forest_Brush/Shrubs,12,159.7149,1,,,,,,,
140855270,569070503,122.1498763157274,7.170847997421902,,,,,,,POINT(122.149876315727 7.1708479974219),16,ZAMBOANGA CITY,F10,149.3192,9,ZAMBOANGA CITY,Forest_Brush/Shrubs,9,259.7901,1,,,,,,,
140855271,569070507,122.28520600288839,7.295246254761534,,,,,,,POINT(122.285206002888 7.29524625476153),16,ZAMBOANGA CITY,F10,46.8354,13,ZAMBOANGA CITY,Forest_Brush/Shrubs,13,36.8411,1,,,,,,,
140855272,569070504,122.17623702864965,7.248878988201316,,,,,,,POINT(122.17623702865 7.24887898820132),16,ZAMBOANGA CITY,F10,86.7564,10,ZAMBOANGA CITY,Forest_Brush/Shrubs,10,190.4714,1,,,,,,,
140855273,569070505,122.23668683970139,7.418421560507768,,,,,,,POINT(122.236686839701 7.41842156050777),16,ZAMBOANGA CITY,F10,50.8862,11,ZAMBOANGA CITY,Forest_Brush/Shrubs,11,187.3312,1,,,,,,,
140855274,569070508,122.22250515053166,7.386445431538112,,,,,,,POINT(122.222505150532 7.38644543153811),16,ZAMBOANGA CITY,F10,23.492,14,ZAMBOANGA CITY,Forest_Brush/Shrubs,14,68.0881,1,,,,,,,
140855275,569070523,121.93278160415083,7.046207248110682,,,,,,,POINT(121.932781604151 7.04620724811068),4,ZAMBOANGA CITY,F30,19.3093,29,ZAMBOANGA CITY,Forest_Perennial Crop,29,73.9323,1,,,,,,,
140855276,569070511,122.14658549568455,7.213830560812907,,,,,,,POINT(122.146585495685 7.21383056081291),16,ZAMBOANGA CITY,F10,23.3379,17,ZAMBOANGA CITY,Forest_Brush/Shrubs,17,77.538,1,,,,,,,
140855277,569070512,121.95348411012249,7.0906640799124565,,,,,,,POINT(121.953484110122 7.09066407991246),16,ZAMBOANGA CITY,F10,41.4064,18,ZAMBOANGA CITY,Forest_Brush/Shrubs,18,326.6991,1,,,,,,,
140855278,569070513,122.13540864844167,7.093511404888095,,,,,,,POINT(122.135408648442 7.09351140488809),16,ZAMBOANGA CITY,F10,20.8881,19,ZAMBOANGA CITY,Forest_Brush/Shrubs,19,58.6096,1,,,,,,,
140855279,569070514,122.04302727242795,7.149632161333344,,,,,,,POINT(122.043027272428 7.14963216133334),16,ZAMBOANGA CITY,F10,32.9423,20,ZAMBOANGA CITY,Forest_Grassland,20,4.8152,1,,,,,,,
140855280,569070524,121.98833863184133,7.018152491595411,,,,,,,POINT(121.988338631841 7.01815249159541),4,ZAMBOANGA CITY,F30,7.3265,30,ZAMBOANGA CITY,Forest_Perennial Crop,30,185.1975,1,,,,,,,
140855281,569070515,122.18072871333086,7.277023499809191,,,,,,,POINT(122.180728713331 7.27702349980919),16,ZAMBOANGA CITY,F10,67.6355,21,ZAMBOANGA CITY,Forest_Grassland,21,12.1837,1,,,,,,,
140855282,569070516,122.22049736006923,7.289857091615477,,,,,,,POINT(122.220497360069 7.28985709161548),16,ZAMBOANGA CITY,F10,39.8166,22,ZAMBOANGA CITY,Forest_Grassland,22,4.0454,1,,,,,,,
140855283,569070517,122.17156644318602,7.023541707918233,,,,,,,POINT(122.171566443186 7.02354170791823),16,ZAMBOANGA CITY,F10,21.371,23,ZAMBOANGA CITY,Forest_Perennial Crop,23,50.3741,1,,,,,,,
140855284,569070518,122.21440846358446,7.187725955446918,,,,,,,POINT(122.214408463584 7.18772595544692),16,ZAMBOANGA CITY,F10,61.3734,24,ZAMBOANGA CITY,Forest_Perennial Crop,24,52.8646,1,,,,,,,
140855285,569070519,122.25654138839292,7.223040761424335,,,,,,,POINT(122.256541388393 7.22304076142434),16,ZAMBOANGA CITY,F10,29.541,25,ZAMBOANGA CITY,Forest_Perennial Crop,25,36.8299,1,,,,,,,
140855286,569070520,122.22852325135514,7.2811077710701895,,,,,,,POINT(122.228523251355 7.28110777107019),16,ZAMBOANGA CITY,F10,49.6127,26,ZAMBOANGA CITY,Forest_Perennial Crop,26,45.4297,1,,,,,,,
140855287,569070521,122.35785632972224,7.3974477431738,,,,,,,POINT(122.357856329722 7.3974477431738),4,ZAMBOANGA CITY,F30,11.3725,27,ZAMBOANGA CITY,Forest_Perennial Crop,27,13.5947,1,,,,,,,
140855288,569070522,121.92597550888195,7.144794451674801,,,,,,,POINT(121.925975508882 7.1447944516748),4,ZAMBOANGA CITY,F30,14.3489,28,ZAMBOANGA CITY,Forest_Perennial Crop,28,59.9075,1,,,,,,,
